clarity,price,cut_Fair,cut_Good,cut_Ideal,cut_Premium,cut_Very Good,color_D,color_E,color_F,color_G,color_H,color_I,color_J,carat,depth,table,x,y,z
2,2629,0,0,0,1,0,0,1,0,0,0,0,0,-0.1958285281414186,-0.02055336678068389,1.5577775697922023,0.013670117823168685,-0.007768602963759729,0.0030708255159097916
4,854,0,0,0,1,0,0,0,0,1,0,0,0,-0.9935978604452838,-0.29303228638753487,0.22774242286826082,-1.151177230443426,-1.1613259458252145,-1.1069935468084353
1,4691,0,0,1,0,0,0,0,1,0,0,0,0,0.24504399760545448,-0.15679282658410937,-1.988982822004975,0.45826834235240343,0.4816193606744328,0.41767318144427995
1,7182,0,0,0,1,0,0,1,0,0,0,0,0,1.4626919258587225,-0.15679282658410937,1.1144325208175552,1.3741406848826272,1.2856138723657495,1.2201293542088674
6,3212,0,0,1,0,0,0,1,0,0,0,0,0,-0.40576782611611995,-1.2467085050114988,1.5577775697922023,-0.2175209589320332,-0.1738109477695755,-0.3179116435899248
3,1813,0,0,1,0,0,0,1,0,0,0,0,0,-0.573719264495881,0.4562847425312956,-0.6589476750810335,-0.48427989364957386,-0.5146347081604595,-0.4249057999585365
2,11901,0,0,0,1,0,0,0,1,0,0,0,0,1.5886555046435433,-0.7017506657978015,0.671087471842908,1.605331761637829,1.4866125002885793,1.3404977801235551
4,4877,0,0,0,1,0,0,0,0,0,0,1,0,0.5809468743649768,0.5244044724330084,-0.21560262610638634,0.7072433480887751,0.6651398470387551,0.7119071114579621
4,5940,0,0,0,1,0,0,0,0,1,0,0,0,0.41299543598521554,0.7968833920398545,-1.1022927240556808,0.5738638807300044,0.5078365730121933,0.6049129550893505
1,4388,0,0,0,1,0,1,0,0,0,0,0,0,0.32901971679533487,-1.791666344225191,0.22774242286826082,0.6983513835981906,0.6039663515839815,0.37755037280605086
4,2332,0,0,0,0,1,0,0,0,0,0,1,0,-0.1958285281414186,-0.4292717461909555,-0.21560262610638634,0.00477815333258418,0.044665821711760596,-0.02367771357624314
3,1743,0,0,0,1,0,0,1,0,0,0,0,0,-0.5947131942933511,0.7287636621381417,-1.1022927240556808,-0.5287397161024971,-0.5583300620567266,-0.4382800695046127
3,829,0,0,1,0,0,1,0,0,0,0,0,0,-0.9516100008503435,-0.29303228638753487,-0.6589476750810335,-1.0711495500281638,-1.0389789549156667,-1.0133736599859005
4,18598,0,0,0,1,0,0,0,1,0,0,0,0,1.8825705218081252,-0.7698703956995143,0.22774242286826082,1.7476031934871843,1.687611128211408,1.4876147451303967
5,787,0,1,0,0,0,1,0,0,0,0,0,0,-1.0565796498376943,1.2056017714501261,0.22774242286826082,-1.346800449236289,-1.2574557243970028,-1.120367816354512
2,2051,1,0,0,0,0,0,0,0,0,1,0,0,-0.21682245793888874,2.0230385302706693,0.22774242286826082,-0.13749327851677107,-0.18255001854882877,0.06994217324629241
0,10863,0,1,0,0,0,0,0,0,0,0,1,0,4.611781395479244,-3.222180672161139,2.887812716716144,3.232561263414829,3.1120796652297202,2.383690804717519
6,730,0,0,1,0,0,0,0,0,0,1,0,0,-0.9935978604452838,-0.15679282658410937,-0.6589476750810335,-1.1422852659528415,-1.1001524503704403,-1.0668707381702063
4,1282,0,0,0,1,0,0,1,0,0,0,0,0,-0.7416707028756421,-0.6336309358960936,1.1144325208175552,-0.7154709704047757,-0.7418505484210489,-0.7458882690643711
7,988,0,0,1,0,0,0,0,0,1,0,0,0,-1.035585720040224,-0.4973914760926682,-0.6589476750810335,-1.213420981877519,-1.2050212997214818,-1.173864894538818
2,663,0,0,1,0,0,1,0,0,0,0,0,0,-0.9306160710528734,-0.36115201628924276,-0.21560262610638634,-1.0266897275752405,-0.9778054594608923,-0.9732508513476713
5,1359,0,0,0,0,1,1,0,0,0,0,0,0,-0.8466403518629928,-0.22491255648582212,0.3607459375606537,-0.9022022247070542,-0.8816756808891041,-0.8662566949790595
1,7140,0,0,0,1,0,0,0,0,0,0,1,0,1.8825705218081252,-0.02055336678068389,-0.6589476750810335,1.703143371034261,1.5914813496396205,1.5411118233147025
1,5408,0,0,0,0,1,1,0,0,0,0,0,0,0.6859165233523271,0.38816501262958286,1.1144325208175552,0.7517031705416984,0.8311821918445709,0.7921527287344203
6,544,0,0,0,0,1,0,1,0,0,0,0,0,-1.1195614392301045,-1.1785887751097859,0.22774242286826082,-1.3645843782174587,-1.3361073614102836,-1.3611046681838885
2,6640,0,0,0,1,0,0,0,0,0,1,0,0,0.8538679617320883,-1.0423493153063605,0.22774242286826082,1.054029963221578,0.9884854658711326,0.8189012678265739
1,4238,0,0,1,0,0,0,0,0,1,0,0,0,0.5389590147700365,0.5244044724330084,-1.1022927240556808,0.7161353125793596,0.6651398470387551,0.7119071114579621
4,8739,0,0,0,1,0,0,0,0,1,0,0,0,0.8748618915295585,0.32004528272787497,0.671087471842908,1.00067817627807,0.9360510411956123,0.952643963287338
1,18472,0,1,0,0,0,0,0,1,0,0,0,0,2.7013337839094604,1.1374820415484133,-1.1022927240556808,2.1032817731105715,2.1245646671740803,2.1563282224342193
4,2795,0,1,0,0,0,0,0,1,0,0,0,0,-0.17483459834394843,-0.7017506657978015,1.1144325208175552,-0.004113811158000326,-0.02524674452226702,-0.09054906130662517
7,1400,0,0,0,1,0,0,0,0,1,0,0,0,-0.8046524922680526,-1.0423493153063605,0.671087471842908,-0.8399584732729619,-0.7680677607588094,-0.8528824254329829
1,1584,0,0,1,0,0,0,1,0,0,0,0,0,-0.30079817712876916,0.4562847425312956,-0.6589476750810335,-0.11970934953560126,-0.1738109477695755,-0.09054906130662517
3,10501,0,0,1,0,0,0,0,0,0,0,1,0,1.7146190834283643,0.25192555282616225,-1.1022927240556808,1.58754783265666,1.600220420418874,1.5277375537686262
6,11128,0,0,1,0,0,0,1,0,0,0,0,0,0.4549832955801558,-0.29303228638753487,-0.21560262610638634,0.644999596654682,0.6913570593765156,0.5915386855432743
2,5198,0,1,0,0,0,1,0,0,0,0,0,0,0.4549832955801558,-3.0859412123577137,-1.545637773030328,0.8139469219757915,0.7612696256105432,0.33742756416782116
3,4155,0,0,0,0,1,0,0,0,0,1,0,0,0.20305613801051417,0.04756636312102401,-0.6589476750810335,0.3871326264277258,0.43792400677816573,0.390924642352127
6,1163,0,0,1,0,0,0,0,0,1,0,0,0,-0.9306160710528734,-0.02055336678068389,-1.1022927240556808,-1.035581692065825,-1.004022671798653,-0.9598765818015945
2,5840,0,0,1,0,0,0,1,0,0,0,0,0,0.4549832955801558,0.32004528272787497,-1.2352962387480735,0.6183237031829284,0.6301835639217412,0.6182872246354266
1,1385,0,0,0,1,0,1,0,0,0,0,0,0,-0.5947131942933511,0.4562847425312956,0.671087471842908,-0.5287397161024971,-0.6107644867322477,-0.49177714768891856
4,504,0,0,0,0,1,1,0,0,0,0,0,0,-1.0775735796351644,0.7968833920398545,-1.1022927240556808,-1.3645843782174587,-1.309890149072523,-1.1872391640848943
2,1609,0,0,1,0,0,0,1,0,0,0,0,0,-0.5317314049009406,0.04756636312102401,0.22774242286826082,-0.44871203568723506,-0.4097658588094181,-0.3981572608663836
2,732,0,0,1,0,0,1,0,0,0,0,0,0,-1.035585720040224,0.38816501262958286,-1.1022927240556808,-1.2223129463681035,-1.2399775828384954,-1.120367816354512
3,473,0,0,0,0,1,0,0,0,0,1,0,0,-1.0565796498376943,0.8650031219415671,0.671087471842908,-1.32901652025512,-1.2749338659555092,-1.147116355446665
1,680,0,1,0,0,0,0,1,0,0,0,0,0,-0.7416707028756421,1.6143201508603928,2.0011226187668494,-0.8221745442917922,-0.8729366101098509,-0.63889411269576
2,1421,0,0,1,0,0,0,0,0,0,1,0,0,-0.4687496155085304,-0.565511205994381,-0.21560262610638634,-0.3242245328190496,-0.3660705049131511,-0.3847829913203074
3,1809,0,0,1,0,0,0,1,0,0,0,0,0,-0.4687496155085304,-0.02055336678068389,-0.21560262610638634,-0.2886566748567108,-0.34859236335464455,-0.3045373740438486
4,10771,0,0,0,0,1,0,0,1,0,0,0,0,1.1267890490992003,-1.3829479648149192,1.1144325208175552,1.2674371109956108,1.268135730807243,0.9927667719255676
1,5304,0,0,0,0,1,0,1,0,0,0,0,0,0.5599529445675067,-0.02055336678068389,0.22774242286826082,0.7072433480887751,0.7088352009350222,0.6584100332736563
2,6566,0,0,0,0,1,0,0,1,0,0,0,0,1.0008254703143795,0.8650031219415671,-0.6589476750810335,1.0273540697498245,1.1195715275599345,1.1265094673863316
3,770,0,0,1,0,0,0,0,0,0,0,1,0,-0.8466403518629928,-0.02055336678068389,-0.21560262610638634,-0.9022022247070542,-0.8554584685513443,-0.8261338863408298
2,6062,0,0,0,0,1,1,0,0,0,0,0,0,0.5389590147700365,-1.6554268844217703,1.1144325208175552,0.7961629929946217,0.8399212626238242,0.5514158769050446
2,1284,0,0,1,0,0,0,1,0,0,0,0,0,-0.6157071240908213,-0.36115201628924276,-0.21560262610638634,-0.5376316805930824,-0.5146347081604595,-0.5318999563271483
4,6846,0,0,0,0,1,0,0,0,1,0,0,0,0.43398936578268565,0.5244044724330084,-0.6589476750810335,0.5471879872582508,0.5690100684669677,0.5915386855432743
3,5544,0,0,0,0,1,0,0,0,1,0,0,0,0.41299543598521554,0.6606439322364338,0.22774242286826082,0.529404058277081,0.5864882100254742,0.6049129550893505
6,5019,0,0,1,0,0,0,0,1,0,0,0,0,-0.1958285281414186,-0.4973914760926682,-0.6589476750810335,0.02256208231375319,0.044665821711760596,-0.02367771357624314
2,1345,0,0,0,1,0,0,0,0,1,0,0,0,-0.5107374751034705,0.7287636621381417,-1.1022927240556808,-0.41314417772489626,-0.4272440003679254,-0.3179116435899248
3,8820,0,0,0,1,0,0,0,0,1,0,0,0,0.937843680921969,0.592524202334721,0.22774242286826082,1.00067817627807,0.918572899637105,0.9793925023794915
4,8181,0,0,1,0,0,1,0,0,0,0,0,0,0.4549832955801558,-0.8379901256012271,-0.6589476750810335,0.7161353125793596,0.6389226347009953,0.5246673378128917
6,789,0,0,0,0,1,0,0,0,1,0,0,0,-1.0565796498376943,0.25192555282616225,1.5577775697922023,-1.311232591273951,-1.266194795176256,-1.1872391640848943
3,9761,0,0,1,0,0,0,0,0,0,0,1,0,1.4626919258587225,0.592524202334721,-0.21560262610638634,1.3919246138637962,1.3205701554827634,1.3538720496696313
4,1754,0,0,1,0,0,0,0,0,1,0,0,0,-0.5527253346984108,0.04756636312102401,-1.545637773030328,-0.46649596466840487,-0.44472214192643195,-0.4249057999585365
4,8763,0,0,1,0,0,0,0,0,0,0,0,1,1.5886555046435433,0.5244044724330084,-0.6589476750810335,1.4541683652978894,1.4953515710678325,1.4608662060382431
4,14447,0,0,0,1,0,0,0,0,1,0,0,0,1.7146190834283643,-0.7017506657978015,0.22774242286826082,1.667575513071922,1.56526413730186,1.4073691278539373
1,4911,0,0,1,0,0,0,0,0,0,1,0,0,0.6859165233523271,-0.08867309668239663,-1.1022927240556808,0.8317308509569605,0.8486603334030773,0.7787784591883442
2,3226,0,0,0,1,0,1,0,0,0,0,0,0,-0.006883159964187171,-1.5873071545200574,-1.1022927240556808,0.2804290525407094,0.23692537885533616,0.05656790370021565
3,792,0,0,1,0,0,0,1,0,0,0,0,0,-0.9935978604452838,-0.02055336678068389,-1.1022927240556808,-1.151177230443426,-1.1176305919289475,-1.0668707381702063
5,825,0,0,0,0,1,0,0,1,0,0,0,0,-0.9726039306478136,-0.4973914760926682,-0.6589476750810335,-1.0978254434999182,-1.0651961672534265,-1.0534964686241302
3,5634,0,0,1,0,0,0,0,0,0,0,1,0,0.8328740319346182,0.5244044724330084,-0.6589476750810335,0.9117585313722226,0.8661384749615847,0.8991468851030321
2,7093,0,0,0,0,1,1,0,0,0,0,0,0,0.7908861723396778,-0.02055336678068389,-0.21560262610638634,0.938434424843977,0.9535291827541188,0.885772615556956
2,571,0,0,1,0,0,1,0,0,0,0,0,0,-1.035585720040224,0.4562847425312956,-0.6589476750810335,-1.2578808043304424,-1.222499441279989,-1.120367816354512
1,534,0,0,0,0,1,0,0,0,0,1,0,0,-0.9935978604452838,1.2056017714501261,-0.21560262610638634,-1.2045290173869345,-1.213760370500735,-1.0267479295319772
3,658,0,0,0,1,0,0,1,0,0,0,0,0,-1.0565796498376943,0.1838058229244495,1.1144325208175552,-1.346800449236289,-1.3011510782932698,-1.227361972723124
5,890,0,0,1,0,0,0,1,0,0,0,0,0,-1.014591790242754,0.38816501262958286,-1.1022927240556808,-1.2223129463681035,-1.178804087383721,-1.0936192772623592
5,458,0,0,0,0,1,1,0,0,0,0,0,0,-1.2035371584199852,0.4562847425312956,-1.988982822004975,-1.6046674194632455,-1.5720622724501263,-1.4547245550064234
6,3990,0,0,1,0,0,0,0,1,0,0,0,0,-0.15384066854647827,0.04756636312102401,-1.545637773030328,0.049237975785507496,0.02718768015325408,0.04319363415413949
4,618,0,0,1,0,0,0,0,0,1,0,0,0,-1.0565796498376943,-0.02055336678068389,-1.279630743645539,-1.2845566978021967,-1.2399775828384954,-1.173864894538818
1,1786,0,0,0,1,0,0,0,0,0,0,1,0,0.014110769833282986,-0.15679282658410937,1.1144325208175552,0.17372547865369373,0.1320565295042955,0.12343925143059828
5,2936,0,0,0,0,1,0,0,0,1,0,0,0,-0.21682245793888874,0.04756636312102401,1.1144325208175552,-0.10192542055443225,-0.05146395686002679,-0.06380052221447224
2,1397,0,0,1,0,0,0,0,1,0,0,0,0,-0.48974354530600056,-0.08867309668239663,-0.6589476750810335,-0.3420084618002186,-0.3660705049131511,-0.3446601826820777
1,669,0,0,0,1,0,1,0,0,0,0,0,0,-0.9516100008503435,-0.6336309358960936,0.22774242286826082,-1.0444736565564094,-1.0826743088119337,-1.0534964686241302
4,726,0,0,0,0,1,0,0,0,1,0,0,0,-0.9306160710528734,0.7968833920398545,-0.21560262610638634,-1.0533656210469948,-1.004022671798653,-0.8930052340712126
4,2399,1,0,0,0,0,0,0,1,0,0,0,0,-0.21682245793888874,-3.9714977010799695,2.0011226187668494,0.17372547865369373,0.07088303404952115,-0.3446601826820777
2,4709,0,0,1,0,0,0,0,0,0,0,1,0,0.6439286637573872,0.11568609302273675,-0.21560262610638634,0.7783790640134527,0.8049649795068103,0.7520299200961919
2,4854,0,0,0,1,0,0,0,0,0,0,1,0,0.6859165233523271,-0.15679282658410937,1.1144325208175552,0.8672987089192993,0.8137040502860636,0.7654041896422681
3,710,0,0,0,1,0,1,0,0,0,0,0,0,-1.0565796498376943,-0.02055336678068389,0.22774242286826082,-1.2845566978021967,-1.2487166536177488,-1.1872391640848943
5,1948,0,0,1,0,0,0,0,0,1,0,0,0,-0.573719264495881,0.32004528272787497,-1.545637773030328,-0.5109557871213282,-0.46220028348493924,-0.4249057999585365
3,12961,0,1,0,0,0,0,0,0,0,0,0,1,3.226182028846214,1.4780806910569722,2.0011226187668494,2.3611487433375284,2.2643897996421356,2.410439343809671
2,1063,0,1,0,0,0,0,1,0,0,0,0,0,-0.7416707028756421,1.4780806910569722,-0.21560262610638634,-0.7866066863294533,-0.8205021854343305,-0.612145573603607
2,644,0,0,1,0,0,1,0,0,0,0,0,0,-0.9516100008503435,-0.7017506657978015,-0.21560262610638634,-1.0800415145187483,-1.0302398841364127,-1.0534964686241302
2,8184,0,0,0,0,1,0,0,0,1,0,0,0,0.6439286637573872,-0.7017506657978015,0.671087471842908,0.7605951350322829,0.7874868379483038,0.6316614941815027
2,1350,0,0,1,0,0,0,0,0,1,0,0,0,-0.5527253346984108,0.4562847425312956,-0.6589476750810335,-0.48427989364957386,-0.46220028348493924,-0.3981572608663836
2,1143,0,0,1,0,0,0,0,0,0,0,0,1,-0.40576782611611995,0.1838058229244495,-1.1022927240556808,-0.2619807813849565,-0.23498444322434908,-0.21091748722131307
1,5513,0,0,0,0,1,0,0,0,0,0,0,1,1.0848011895042602,-0.02055336678068389,1.1144325208175552,1.0718138922027476,1.1020933860014273,1.01951531101772
2,773,0,0,0,1,0,0,0,1,0,0,0,0,-0.8046524922680526,-0.15679282658410937,0.22774242286826082,-0.8399584732729619,-0.8030240438758233,-0.7860110777026008
4,702,0,0,1,0,0,0,0,1,0,0,0,0,-1.014591790242754,0.11568609302273675,-0.6589476750810335,-1.231204910858688,-1.178804087383721,-1.120367816354512
4,1826,0,0,1,0,0,1,0,0,0,0,0,0,-0.6157071240908213,-0.7017506657978015,-0.21560262610638634,-0.5020638226307437,-0.4534612127056852,-0.5185256867810715
4,9319,0,0,0,1,0,0,0,1,0,0,0,0,0.8958558213270287,-0.29303228638753487,1.1144325208175552,1.0273540697498245,1.0409198905466537,0.9258954241951857
5,856,0,0,0,0,1,1,0,0,0,0,0,0,-0.9935978604452838,0.11568609302273675,-0.6589476750810335,-1.1600691949340105,-1.1088915211496935,-1.0534964686241302
6,16601,0,0,0,1,0,0,0,0,1,0,0,0,1.525673715251133,-0.7698703956995143,0.22774242286826082,1.5519799746943213,1.4866125002885793,1.313749241031403
4,2789,0,0,0,1,0,0,0,0,0,1,0,0,-0.06986494935659765,-0.29303228638753487,1.1144325208175552,0.13815762069135493,0.1145783879457882,0.08331644279236859
7,974,0,0,1,0,0,0,0,0,1,0,0,0,-0.9726039306478136,0.11568609302273675,-1.545637773030328,-1.0978254434999182,-1.0651961672534265,-0.9999993904398242
3,3018,0,0,0,1,0,0,0,1,0,0,0,0,-0.06986494935659765,0.4562847425312956,0.671087471842908,0.09369779823843082,0.05340489249101385,0.12343925143059828
3,2321,0,0,1,0,0,0,0,0,1,0,0,0,-0.3847738963186498,-0.08867309668239663,-1.1022927240556808,-0.20862899444144867,-0.19128908932808203,-0.1975432176752369
2,462,0,0,0,0,1,0,0,0,1,0,0,0,-1.035585720040224,-1.996025533930329,2.0011226187668494,-1.2045290173869345,-1.1613259458252145,-1.2808590509074298
4,1429,0,0,1,0,0,0,0,0,0,1,0,0,-0.6367010538882915,-0.02055336678068389,0.671087471842908,-0.5998754320271747,-0.5321128497189669,-0.5318999563271483
3,3064,0,0,1,0,0,0,0,1,0,0,0,0,-0.21682245793888874,-0.22491255648582212,-0.6589476750810335,-0.021897740139170126,0.0009704678154935289,-0.03705198312231931
1,2057,0,0,0,0,1,0,0,0,1,0,0,0,-0.21682245793888874,-0.7698703956995143,0.22774242286826082,-0.021897740139170126,0.018448609374000044,-0.09054906130662517
4,603,0,0,1,0,0,0,1,0,0,0,0,0,-1.1195614392301045,-0.08867309668239663,-1.1022927240556808,-1.391260271689213,-1.388541786085804,-1.3076075899995827
3,917,0,1,0,0,0,0,0,0,0,1,0,0,-0.8256464220655227,1.6143201508603928,-0.21560262610638634,-0.9110941891976396,-0.9690663886816391,-0.732513999518295
2,3180,0,0,0,0,1,0,0,0,0,1,0,0,0.1400743486181037,0.32004528272787497,-0.21560262610638634,0.27153708805012483,0.3155770158686178,0.3106790250756682
2,11574,0,0,0,1,0,0,0,0,1,0,0,0,1.546667645048603,-0.8379901256012271,1.5577775697922023,1.5341960457131514,1.4778734295093259,1.2870007019392493
2,447,0,1,0,0,0,0,0,0,1,0,0,0,-1.0565796498376943,1.4099609611552595,-0.6589476750810335,-1.3201245557645356,-1.266194795176256,-1.0936192772623592
2,6256,0,0,0,1,0,1,0,0,0,0,0,0,0.7069104531497973,-1.9279058040286163,0.671087471842908,0.9740022828063157,0.9010947580785985,0.6182872246354266
1,3633,0,1,0,0,0,0,0,1,0,0,0,0,0.4549832955801558,-1.451067694716632,2.887812716716144,0.7428112060511138,0.7000961301557689,0.48454452917466256
3,700,0,0,0,0,1,0,0,0,0,1,0,0,-0.8886282114579331,0.8650031219415671,-0.6589476750810335,-1.0444736565564094,-0.9952836010193988,-0.8796309645251358
2,1788,0,1,0,0,0,0,0,0,0,0,1,0,-0.1958285281414186,0.592524202334721,2.4444676677414967,-0.1819531009696944,-0.1213765230940544,-0.07717479176054841
5,2616,0,0,1,0,0,0,1,0,0,0,0,0,-0.5527253346984108,0.32004528272787497,-1.545637773030328,-0.45760400017781955,-0.4272440003679254,-0.3847829913203074
1,4836,0,0,0,1,0,0,0,0,0,0,1,0,0.9798315405169093,0.1838058229244495,1.1144325208175552,1.036246034240409,0.971007324312626,0.9660182328334141
0,2723,1,0,0,0,0,0,0,0,1,0,0,0,0.41299543598521554,-0.02055336678068389,-0.21560262610638634,0.5738638807300044,0.46414121911592626,0.48454452917466256
1,597,0,0,1,0,0,0,0,1,0,0,0,0,-0.8466403518629928,0.7287636621381417,-1.1022927240556808,-0.9288781181788086,-0.8904147516683574,-0.7860110777026008
1,812,0,0,0,1,0,1,0,0,0,0,0,0,-0.8886282114579331,-0.4292717461909555,0.22774242286826082,-0.9466620471599784,-0.9865445302401455,-0.9465023122555184
5,3922,0,0,1,0,0,0,0,0,1,0,0,0,-0.13284673874900813,-0.02055336678068389,-1.1022927240556808,0.049237975785507496,0.07088303404952115,0.05656790370021565
2,4876,0,0,0,0,1,0,0,0,0,1,0,0,0.43398936578268565,0.04756636312102401,0.671087471842908,0.5560799517488353,0.577749139246221,0.5380416073589684
2,1415,0,0,0,0,1,1,0,0,0,0,0,0,-0.573719264495881,-0.565511205994381,0.671087471842908,-0.5020638226307437,-0.4796784250434457,-0.5185256867810715
3,7453,0,0,1,0,0,0,0,1,0,0,0,0,0.622934733959917,-0.22491255648582212,-0.6589476750810335,0.7961629929946217,0.8137040502860636,0.7252813810040384
6,4951,0,0,1,0,0,0,0,1,0,0,0,0,-0.21682245793888874,-0.02055336678068389,-0.6589476750810335,-0.05746559810150893,-0.016507673743012985,-0.03705198312231931
6,767,0,0,0,0,1,0,0,1,0,0,0,0,-1.035585720040224,-0.7017506657978015,0.22774242286826082,-1.231204910858688,-1.178804087383721,-1.1872391640848943
1,4241,0,0,0,0,1,0,0,0,1,0,0,0,0.5179650849725663,-0.08867309668239663,1.1144325208175552,0.6627835256358517,0.7088352009350222,0.6316614941815027
3,9057,0,0,1,0,0,0,0,1,0,0,0,0,0.6439286637573872,0.04756636312102401,-0.6589476750810335,0.8139469219757915,0.8311821918445709,0.7787784591883442
4,2132,0,0,1,0,0,0,0,0,1,0,0,0,-0.5317314049009406,0.32004528272787497,-1.545637773030328,-0.4220361422154815,-0.44472214192643195,-0.3714087217742307
5,3369,0,1,0,0,0,1,0,0,0,0,0,0,-0.2378163877363589,-0.15679282658410937,1.5577775697922023,-0.11970934953560126,-0.0864202399770406,-0.11729760039877811
1,1383,0,0,1,0,0,1,0,0,0,0,0,0,-0.6157071240908213,-0.565511205994381,-0.6589476750810335,-0.5020638226307437,-0.4796784250434457,-0.5185256867810715
2,2718,0,0,0,1,0,1,0,0,0,0,0,0,-0.17483459834394843,0.04756636312102401,0.22774242286826082,0.058129940276092,0.0009704678154935289,0.029819364608062723
1,6685,0,0,0,1,0,0,0,0,1,0,0,0,1.1057951193017304,-0.9742295854046525,0.22774242286826082,1.2852210399767805,1.2331794476902294,1.0462638501098735
1,1359,0,0,1,0,0,1,0,0,0,0,0,0,-0.48974354530600056,0.11568609302273675,-0.6589476750810335,-0.3953602487437272,-0.3573314341338978,-0.33128591313600153
